epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5879,1.52514,4.87624,2.06893,0.00199,0.5,0.02558,0.01206,1.19916,5.47553,1.84427,1.667e-05,1.667e-05,1.667e-05
2,63.9876,1.00661,3.54639,1.41514,0.61498,0.32992,0.17564,0.09933,0.93716,5.90022,1.43979,4.75345e-05,4.75345e-05,4.75345e-05
3,96.3432,1.04189,5.11475,1.50064,0.25029,0.40105,0.34858,0.15207,1.04674,5.21132,1.60734,7.50984e-05,7.50984e-05,7.50984e-05
4,129.122,0.86532,3.13327,1.35802,0.39902,0.7,0.53463,0.36505,0.90401,3.77781,1.49584,9.93615e-05,9.93615e-05,9.93615e-05
5,161.068,1.36978,3.13945,1.61828,0.4361,0.5,0.42858,0.25925,0.97439,4.84487,1.57806,0.000120324,0.000120324,0.000120324
6,194.332,0.83839,3.2254,1.35534,0.333,0.8,0.44665,0.29199,1.11287,4.50205,1.85448,0.000137986,0.000137986,0.000137986
7,226.524,0.89013,2.57765,1.41526,0.29983,0.6,0.39474,0.27321,1.11947,5.3654,1.8591,0.000152347,0.000152347,0.000152347
8,257.98,0.86701,3.69273,1.40452,0.19234,0.3,0.22581,0.17493,1.02864,5.35709,1.8077,0.000163408,0.000163408,0.000163408
9,290.681,0.79994,2.26113,1.25996,0.77408,0.4,0.37736,0.2623,1.12253,7.0744,1.86521,0.000171168,0.000171168,0.000171168
10,322.856,0.76749,2.19106,1.20688,0.23576,0.4,0.34913,0.22475,1.21123,8.71349,2.08411,0.000175627,0.000175627,0.000175627
11,356.177,0.41042,2.65132,0.86195,0.62087,0.69868,0.50755,0.36644,1.20753,5.57912,1.92677,0.000176785,0.000176785,0.000176785
12,388.92,1.23017,4.12171,1.44722,0.62087,0.69868,0.50755,0.36644,1.20753,5.57912,1.92677,0.000174643,0.000174643,0.000174643
13,419.626,0.65543,2.86151,1.03927,0.76953,0.69971,0.65447,0.39286,1.32563,4.04849,1.97653,0.000169201,0.000169201,0.000169201
14,453.003,0.55089,2.92847,0.90614,0.56797,0.4,0.49181,0.29849,1.41857,6.48699,1.95816,0.000160457,0.000160457,0.000160457
15,485.827,0.72872,2.40632,1.09128,0.56797,0.4,0.49181,0.29849,1.41857,6.48699,1.95816,0.000148413,0.000148413,0.000148413
16,517.972,0.73178,2.18457,1.12224,0.63799,0.4,0.44059,0.28436,1.21749,4.94264,1.63109,0.000133068,0.000133068,0.000133068
17,551.326,0.43898,2.31434,0.91698,0.56372,0.6,0.51363,0.29001,1.28685,3.52975,1.55965,0.000114423,0.000114423,0.000114423
18,586.401,0.48953,2.12977,1.01529,0.56372,0.6,0.51363,0.29001,1.28685,3.52975,1.55965,9.24768e-05,9.24768e-05,9.24768e-05
19,616.582,0.54432,2.03051,0.93328,0.75075,0.5,0.57016,0.36422,1.13686,3.23736,1.37887,6.72301e-05,6.72301e-05,6.72301e-05
20,650.477,0.43421,1.73188,0.91411,0.75075,0.5,0.57016,0.36422,1.13686,3.23736,1.37887,3.86827e-05,3.86827e-05,3.86827e-05
